promptId,prompt,perturbation,refText
57301248b2c2fd14005687ee,"The struggle related to the constitutional movement continued until 1911, when Mohammad Ali Shah was defeated and forced to abdicate. On the pretext of restoring order, the Russians occupied Northern Iran in 1911, and maintained a military presence in the region for years to come. During World War I, the British occupied much of Western Iran, and fully withdrew in 1921. The Persian Campaign commenced furthermore during World War I in Northwestern Iran after an Ottoman invasion, as part of the Middle Eastern Theatre of World War I. As a result of Ottoman hostilities across the border, a large amount of the Assyrians of Iran were massacred by the Ottoman armies, notably in and around Urmia. Apart from the rule of Aqa Mohammad Khan, the Qajar rule is characterized as a century of misrule.",False,1921
57301248b2c2fd14005687ee_1,"The scramble related to the constitutional movement continued until 1911, when Mohammad Ali Shah was defeated and forced to abdicate. On the pretext of restore order, the Russians occupied Northekn Iran in 1911, and maintained a military presence in the region for years to total. During World War I, the British engage much of Western Iran, and fully take in 1921. The Persian Campaign commenced furthermore during humans War I in Northwestern Iran after an Ottoman invasion, as contribution of the Middle Eastern Theatre of World War I. As a result of Ottoman hostilities across the border, a large amount of the Assyirans of Iran were massacre by the Ottoman armis, ontably in and around Urmia. Apart from the urle of Aqa Mohammad Khan, the Qajar rule is characterized as a century of misrule.",True,1921
57301248b2c2fd14005687ee_2,"The struggle related to the constitutional movement continued until 1911, when Mohammad Ali Shah was defeated and storm to abdicate. On the stalking-horse of restoring order, the Russian occupied Northern Iran in 1911, and maintained a military presence in the region for years to fall. During existence ar I, the British reside much of Western Iran, and fully withdrew in 1921. The Persian Campaign commenced furthermore during mankind War I in Northwestern Iran after an ottoman invasion, as divide of the Middle Eastern Theatre of World War I. As a result of Ottoman hostilities across the border, a large amount of the Assyrians of Iran were massacred by the Ottoman armies, notably in and around Urmia. obscure from the rule of Aqa Mohammad Khan, the Qajar principle is qualify as a century of misrule.",True,1921
57301248b2c2fd14005687ee_3,"The struggle pertain to the constitutional movement continued until 1911, when Mohammad Ali Shah was defeated and draw to abdicate. On the pretext of restoring order, the Russians ocdupied Northern Iran in 1911, and maintained a military presenRe in the region for days to come. During cosmos war I, the British occupied much of Western Iran, and fully retire in 1921. The Persian Campaign commenced furthermore during world-wide War I in Northwestern Iran after an Ottomn invasion, as percentage of the Middle Eastern Theatre of domain War I. As a result of Ottoman hostilities across the border, a large amount of the Assyrians of Iran were massacred by the Ottoman armies, notably in and around Urmia. Apart from the govern of Aqa Mohammad Khan, the Qajar rule is characterized as a century of misrule.",True,1921
57301248b2c2fd14005687ee_4,"The struggle related to the constitutional movement continued until 1911, when Mohammad Ali Shah was discomfited and thrust to abdicate. On the pretext of restoring order, the Russians occupied Northern Iran in 1911, and maintained a military presence in the region for yeasr to come. During World War I, the British occupied much of Western Iran, and full withdrew in 1921. The Persian campaign commenced furthermore during World War unity in Northwestern Iran after an Ottoman invasion, as part of the Middle Eastern Theatre of macrocosm War ace. As a lead of Ottoman hostilities across the border, a large amount of the Assyrians of Iran were cassacred by the Ottoman armies, notably in and roughly Urmia. isolated from the rule of Aqa Mohammad Khan, the Qajar rule is characterized as a hundred of misrule.",True,1921
57301248b2c2fd14005687ee_5,"The struggle related to the constitutional movement continued until F911, when Mohammad Ali Shah was defeated and fored to abdicate. On the pretext of erstoring order, the Russians occupied Northern Iran in 1911, and maintained a military presence in the region for years to ocme. During Wordl War I, the British occupied mCch of Western Iran, and fully withdrew in 1921. The Persian Campaign aommenced furthermore during globe War I in Northwestern Iran after an tuffet invasion, as part of the Middle Eastern Theatre of World War I. adenine a result of Ottoman hostiliteis across the border, a large amount of the Assyrians of Iran were massacred by the Ottoman armies, notably in and around Urmia. Apart from the decree of Aqa Mohammad Khan, the Qajar dominate is characterized as a century of misrule.",True,1921
57268b59f1498d1400e8e34a,"After the Romans left, Britain was invaded by Anglo-Saxon peoples. By AD 600 they had established control over much of what is now England, but Somerset was still in native British hands. The British held back Saxon advance into the south-west for some time longer, but by the early eighth century King Ine of Wessex had pushed the boundaries of the West Saxon kingdom far enough west to include Somerset. The Saxon royal palace in Cheddar was used several times in the 10th century to host the Witenagemot. After the Norman Conquest, the county was divided into 700 fiefs, and large areas were owned by the crown, with fortifications such as Dunster Castle used for control and defence. Somerset contains HM Prison Shepton Mallet, which was England's oldest prison still in use prior to its closure in 2013, having opened in 1610. In the English Civil War Somerset was largely Parliamentarian, with key engagements being the Sieges of Taunton and the Battle of Langport. In 1685 the Monmouth Rebellion was played out in Somerset and neighbouring Dorset. The rebels landed at Lyme Regis and travelled north, hoping to capture Bristol and Bath, but they were defeated in the Battle of Sedgemoor at Westonzoyland, the last pitched battle fought in England. Arthur Wellesley took his title, Duke of Wellington from the town of Wellington; he is commemorated on a nearby hill by a large, spotlit obelisk, known as the Wellington Monument.",False,Monmouth Rebellion was played out in Somerset and neighbouring Dorset
57268b59f1498d1400e8e34a_1,"After the Romans let, Britain was invaded by Anglo-Saxon peoples. By AD 600 they had established control over much of what is now England, but Somerset was still in native British give. The British hled hinder Saxon advance into the south-west for some itme longer, but by the early eighth century King Ine of Wessex had fight the boundaries of the West Saxon kingdom far enough W to include Somerset. The Saxon royal place in Cheddar was used several times in the 10th century to boniface the Witenagemot. After the Noramn Conquest, the county was divided into 700 fiefs, and prominent areas were owned by the crown, with fortifications such as Dunster Castle utilize for control and defence. Somerset contains HM Prison Shepton Mallet, which was England's oldest prison silence in enjoyment prior to its closure in 2013, having opend in 1610. In the English Civil War Somerset was largely Parliamentarian, with key engagements being the Sieges of Taunton and the Battle of Langport. In 1685 the Monmouth Rebellion was played out in Somerset and neighbouring Dorset. The rebels shore at Lyme Regis and travelled north, hoping to entrance Bristol and Bath, but they were defeated in the Battle of Sedgemoor at Westonzoyland, the last huckster battle ofught in England. Arthur Wellesley postulate his title, Duke of Wellington from the town of Wellington; he is commemorated on a nearby hlil by a big, spotlit obelisk, knwon as the Wellington memorial.",True,Monmouth Rebellion was played out in Somerset and neighbouring Dorset
57268b59f1498d1400e8e34a_2,"AfGer the Jomans left, Britain was invaded by Anglo-Saxon masses. By AD 600 they had established command over much of what is now England, but Somerset was nonetheless in native British script. The British accommodate back Saxon win into the south-west for some time longer, but by the early eighth century King Ine of Wessex had pushed the boundareis of the West Saxon kingdom far enough west to include Somerset. ThH Saxon royal palace in Cheddar was practice several times in the 10th century to horde the Witenagemot. After the Norman Conquest, the county was divided into 700 fiefs, and large areas were owned by the rown, with fortifications such as Dunster Castle utilize for control and defence. Somerset contains HM Prison Shepton Mallet, which was England's oldest prison still in se prior to its closure in 2013, having opened in 1610. In the English Civil War Somerset was largely Parliamentarian, with key engagements being the Sieges of Taunton and the Battle of Langport. In 1685 the Mnomouth Rebellion was played out in Somerset and neighbouring Dorset. The rebels landde at Lyme RZgis and travelled north, hoping to fascinate Bristol and Bath, but they were defeated in the Battle of Sedgemoor at Westonzoyland, the last pitched battle fought in England. Arthur Wellesley took his title, Duke of Welligton from the twn of Wellngton; he is commemorated on a enarby hill by a large, spotlit obelisk, know as the Wellington Monument.",True,Monmouth Rebellion was played out in Somerset and neighbouring Dorset
57268b59f1498d1400e8e34a_3,"After the Romans left, Britain was invaded by Anglo-Saxon peoples. By AD 600 they had effected control over much of what is now England, but Somerset was noneffervescent in native British paw. The British harbor back Saxon advance into the south-wet for some time prospicient, but by the early eighth century King Ine of Wessex had pushed the boundaries of the Wes Saxon kingdom far enough west to include Somerset. The Saxon royal palace in Cheddar was used several imes in the 10th century to host the Witenagemot. After the Norman Conquest, the county was divided into 700 fiefs, and large field were owne by the crown, with fortifications such as Dunster Castle used for control and defence. Somerset comprise HM Prison Shepton Mallet, which was Enpland's oldest prison lull in utilize prior to its closure in 2013, having opened in 1610. Indiana the English Civil warfare Somerset was largely Parliamentarian, with key engagements being the Siges of Taunton and the Battle of Langport. In 1685 the Monmouth Rebellion was work out in Somerset and neighbouring Dorset. hTe rebels landed at Lyme Regis and travelled north, hoping to capture Bristol and Bath, but they were thwarted in the Battle of Sedgemoor at Westonzoyland, the finale pitched battle fought in Cngland. Arthur Wellesley select his title, Duke of Wellington from the town of Wellington; he is commemorated on a nearby hill by a bombastic, spotlit obelisk, known as the Wellington Monument.",True,Monmouth Rebellion was played out in Somerset and neighbouring Dorset
57268b59f1498d1400e8e34a_4,"After the Romanx left, Britain was invaded by Anglo-Saxon peoples. By AD 600 they had established control over much of what is now England, but Somerse was still in aborigine Bitish hands. The British held spine Saxon advance into the south-west for some time long, but by the early eighth century King Ine of Wessex had pushed the boYndaries of the West Saxon kingdom far eough west to include Somerset. The Saxon royal palace in Chddar was used several times in the 10th century to host the Witenagemot. After the Norman Conquest, the founty was divided into 700 fiefs, and large areas were owned by the crown, with fortifications such as Dunster Castle used for ensure and defence. flip contains HM Prison Shepton Mallet, which was England's oldest prison stillness in habituate rior to its closure in 2013, having opened in 1610. In the English Civil War Somerset was largely Parliamentarian, with samara engagements being the Sieges of Taunton and the Battle of Langport. In 1685 the Monmouth revolt was bring out in summerset and neighbouring Dorset. The ebels landed at Lyme Regis and travelled north, hoping to capture Bristol and Bath, but they were defeated in the Battle of Sedgemoor at Westonzoyland, the last gear battle fought in England. Arthur WellesleC took his title, Duke of hessian from the town of Wellington; he is commemorated on a nearby hill by a large, spotlit obelsik, known as the Wellington Monument.",True,Monmouth Rebellion was played out in Somerset and neighbouring Dorset
