id,prompt,cluster,NID
600eb8dbf21215cb6475f4c20e811fc8,The president advised the doctor .,9,0.5865007083038085
1cb395ea048847c5538ed30a89663cb7,The student saw the managers .,6,0.6406368275844173
d79d346cdafb5cf564ce989318035382,The presidents encouraged the banker .,7,0.5907070393374741
33afb958c3ccdf3bd357210feadc497b,The senators supported the actor .,9,0.6023343276651542
d167c2aa5f02876720d2dae97456e3a6,The actors avoided the bankers .,9,0.6051432716774482
475a8fb1d15cb064e5ee477cc0d5d0db,The senators mentioned the artist .,9,0.569726330128215
2f09637f0ffc0971173e9ffa8bfe8143,The managers saw the secretaries .,9,0.6047105693938155
adb2ec78f7ee6ab4decb9f4d55a3d735,The professor recognized the secretaries .,9,0.5848979591836734
2da60e514ecbf811f0d82e7715eca992,The author contacted the scientist .,9,0.568277609804531
7ef07c65520f160a5957de7b41e7bc99,The athletes recommended the senator .,9,0.5682964113181503
f4faffb82c62b9106eb4567eb4205d45,The president avoided the athlete .,9,0.6150151350283835
a70b3927299842b178fafb9f073ec43e,The judges supported the banker .,11,0.6080558129560465
d781c8859003fcd025c3070b5558e688,The senators contacted the scientists .,9,0.5583139480429853
7f51766b7134212f5e2806e0f5c34914,The banker thanked the tourist .,9,0.629235665150118
c8dc0f13a7c196461f41d2b9e74b043a,The tourists admired the secretary .,3,0.5949614203726042
70eaac856b414a746293bdc771eaccdd,The lawyers helped the judge .,8,0.6085920420525942
cce991b578309f2216f1656ffc2fc8e7,The actors introduced the lawyer .,9,0.5859230641407871
6a4b457c8e73649ebe999ed1ae7bd5b8,The professors advised the judge .,10,0.5870289852352629
9d48fea117357821bba821cc3961eb9c,The artists contacted the professor .,9,0.5731186745449168
663278b7cfe960671fce6197a35b60e9,The student recognized the senator .,9,0.5817452034740422
2cbe7d7fa91d1ecdc8516abb3f64d1db,The secretary introduced the judge .,9,0.590151413565089
55efcdc2a2ebd7d55377c0d456d47797,The senators introduced the president .,9,0.5555373779946762
e31f14d1059d8f10c730d8bf88c48486,The lawyer introduced the professors .,9,0.5916019915212462
8546e2a869f405e4eadf5e5fa7999ec5,The tourist believed the students .,9,0.5762977127395371
352be28a7fc6e00be678f3e2dbe6909f,The athlete recommended the judge .,9,0.5956187313176337
f68dfacf305428e8645271952ca86222,The secretary recommended the lawyer .,9,0.5970549393670512
6bd158dc0e2c6018b295e741e778cc14,The authors recommended the professors .,9,0.5789195997239477
37482ccb7417d8a861fadb94786644d0,The students thanked the authors .,5,0.570600628855304
7c0d67bcfb9af4d5d9571137956f9761,The tourist contacted the judges .,8,0.5814939827688058
b8c396c9b0bd2c0fecad072e699c081e,The authors introduced the students .,9,0.5524781197063806
b81138e68f3c0e404c0834be7e15a93b,The author contacted the professors .,9,0.5677866340871
a97b3b2bd9217f9754f0283c6b73498d,The judges recommended the president .,9,0.572931048506359
9ef4d70e83d811b43e27bb0d064d8f17,The students believed the judges .,9,0.5788085099444672
e983c0fbb3293eee0083e3e2bc104307,The athletes supported the president .,9,0.5811224982746722
68a498d578b7a966fd510d34637a0e44,The managers introduced the bankers .,9,0.6074190400075801
028716ddc2e4b5e8a74a6ef78f394c8b,The authors encouraged the judges .,1,0.5760876272422748
f020d5084c3b10c77748cb9742946373,The actor stopped the senators .,9,0.5963386380470529
c7cd714090bbb4a93345e55065fc41ae,The artist avoided the senators .,9,0.5616214390493974
c03b14b1bc124b6ec25ade8c085a5c9d,The actors recognized the student .,9,0.5671531874845107
199c61ed51ff391f5a9b37039348507f,The senators stopped the presidents .,9,0.5503143872173376
4c6c43b7ed8d1bfc1bf9fff8d42329d6,The scientists encouraged the lawyers .,7,0.5956556861875185
e66537f8e42d9183c0f8669b3207b082,The professors helped the presidents .,9,0.5827265093309438
a66d1837156100363c42316c186eb38d,The authors stopped the senator .,9,0.5715312597413579
9cae4d5a38fe578ea601fbbfc284e36c,The professor advised the manager .,9,0.5967262405007964
ce3344d199296f373074aa8efa17b3d9,The manager introduced the judge .,9,0.5914082869344948
f7719d6dfe797995a737ded667aa7ee7,The presidents contacted the scientist .,9,0.572707039337474
67c1e232c23a636bf166ee051796f5d1,The artists encouraged the scientists .,7,0.6000234287890254
3943b9dec9bc27e380546f267fd93a9d,The lawyer advised the author .,9,0.6070359037215847
a7786afd1138e1166eda3c2cbac104ee,The student contacted the senator .,9,0.5692716304228737
2ea2e70198bf33198ac8088391d90a81,The students recognized the professor .,9,0.5860557157645667
f2842dcb76785d6bbe9e43fb3ea7a31b,The actor believed the scientist .,9,0.5799695267608485
374823109eee97d24f1186b4b1a22ac7,The artist contacted the tourist .,8,0.6134572142975183
5277fcff1c19fe375946d788c45467ef,The president helped the actors .,9,0.5645281553478955
c9c6b4e037b99154c7c40b2b9bcc8c99,The professors introduced the secretary .,9,0.5803358843537416
57a1e2edd9f69b3806d5e8fcaeb24a57,The doctors advised the senator .,9,0.6035966249243546
ad5b22b5ecd8083ba7204ae64e2b4176,The doctors believed the student .,9,0.5731041865815054
efab04636080c952b8f47e7f92f57b38,The judges mentioned the student .,9,0.6045908413676842
f690ba90b44711afe004aa2a5b11b902,The judge called the doctors .,8,0.5916846510170245
eb01253bfea4f52392fb0effe29cb14f,The managers stopped the president .,9,0.573727598434355
bb4dfe438575fe619dcf493c14d280c3,The artist introduced the tourists .,9,0.5875136889512406
530b02a475fe57d626a960bc59fc26e2,The manager contacted the secretaries .,9,0.5644807379473528
bf86b111a40869bfbbf43fc2e959ce77,The judges recommended the secretary .,9,0.5861727176377798
8c41dd777f6f3e8252905d64e41983ca,The actors called the professor .,9,0.5808505078131697
e05f52de271cf0bba5885a39059cdeb4,The scientists avoided the actors .,9,0.5641559624692478
84d18e42c9ce0ac8e431480001705522,The banker encouraged the artists .,7,0.5898522372931769
393f8ffbc5512f3e6e2e4c8b10ee182c,The artists believed the bankers .,7,0.5815635989675744
924ad0fdfa550e609647a2d2f7dcbdb3,The professor recommended the manager .,9,0.5768944099378882
8f2e645c6b7372a6cf34416b7adbf468,The doctor thanked the secretary .,4,0.5977313014918227
257770fcc33a42e0e65bd1df3c40e5f3,The banker admired the actors .,9,0.5865245054126379
dc53d8fc0688d79e3866fa805ea1581e,The banker thanked the lawyer .,9,0.6436728331803365
16689e1695169f3511deb723b3412a45,The managers called the athletes .,9,0.5952857622227842
f7b5efa3b41dfbf6d64ba7409729882a,The tourists introduced the authors .,9,0.559692961110663
a4726787f54fbaa03305aa7d556a36c9,The secretary mentioned the authors .,9,0.5785287591980139
442da585354f5d76b815fed83d625962,The banker admired the tourist .,9,0.6042601692827675
7b5fe51ed779338a10f69214df01463a,The lawyers thanked the managers .,9,0.6196268171317928
708f7ecd73186ee4c3ca5915dc0f8d41,The authors recognized the judges .,1,0.576027905887667
e01f9d42a8a0d3ad497ea0fa1f8b6d21,The senators saw the author .,9,0.6161246568602563
ca01a0545eb2de904a057e315d55cb41,The students stopped the professors .,9,0.5758382948623271
4441be25289d3b09cd95ea90c4bc8def,The athletes thanked the student .,5,0.5908748782912523
