id,prompt
600eb8dbf21215cb6475f4c20e811fc8,The president advised the doctor .
1cb395ea048847c5538ed30a89663cb7,The student saw the managers .
d79d346cdafb5cf564ce989318035382,The presidents encouraged the banker .
33afb958c3ccdf3bd357210feadc497b,The senators supported the actor .
d167c2aa5f02876720d2dae97456e3a6,The actors avoided the bankers .
475a8fb1d15cb064e5ee477cc0d5d0db,The senators mentioned the artist .
2f09637f0ffc0971173e9ffa8bfe8143,The managers saw the secretaries .
adb2ec78f7ee6ab4decb9f4d55a3d735,The professor recognized the secretaries .
2da60e514ecbf811f0d82e7715eca992,The author contacted the scientist .
7ef07c65520f160a5957de7b41e7bc99,The athletes recommended the senator .
f4faffb82c62b9106eb4567eb4205d45,The president avoided the athlete .
a70b3927299842b178fafb9f073ec43e,The judges supported the banker .
d781c8859003fcd025c3070b5558e688,The senators contacted the scientists .
7f51766b7134212f5e2806e0f5c34914,The banker thanked the tourist .
c8dc0f13a7c196461f41d2b9e74b043a,The tourists admired the secretary .
70eaac856b414a746293bdc771eaccdd,The lawyers helped the judge .
cce991b578309f2216f1656ffc2fc8e7,The actors introduced the lawyer .
6a4b457c8e73649ebe999ed1ae7bd5b8,The professors advised the judge .
9d48fea117357821bba821cc3961eb9c,The artists contacted the professor .
663278b7cfe960671fce6197a35b60e9,The student recognized the senator .
2cbe7d7fa91d1ecdc8516abb3f64d1db,The secretary introduced the judge .
55efcdc2a2ebd7d55377c0d456d47797,The senators introduced the president .
e31f14d1059d8f10c730d8bf88c48486,The lawyer introduced the professors .
8546e2a869f405e4eadf5e5fa7999ec5,The tourist believed the students .
352be28a7fc6e00be678f3e2dbe6909f,The athlete recommended the judge .
f68dfacf305428e8645271952ca86222,The secretary recommended the lawyer .
6bd158dc0e2c6018b295e741e778cc14,The authors recommended the professors .
37482ccb7417d8a861fadb94786644d0,The students thanked the authors .
7c0d67bcfb9af4d5d9571137956f9761,The tourist contacted the judges .
b8c396c9b0bd2c0fecad072e699c081e,The authors introduced the students .
b81138e68f3c0e404c0834be7e15a93b,The author contacted the professors .
a97b3b2bd9217f9754f0283c6b73498d,The judges recommended the president .
9ef4d70e83d811b43e27bb0d064d8f17,The students believed the judges .
e983c0fbb3293eee0083e3e2bc104307,The athletes supported the president .
68a498d578b7a966fd510d34637a0e44,The managers introduced the bankers .
028716ddc2e4b5e8a74a6ef78f394c8b,The authors encouraged the judges .
f020d5084c3b10c77748cb9742946373,The actor stopped the senators .
c7cd714090bbb4a93345e55065fc41ae,The artist avoided the senators .
c03b14b1bc124b6ec25ade8c085a5c9d,The actors recognized the student .
199c61ed51ff391f5a9b37039348507f,The senators stopped the presidents .
4c6c43b7ed8d1bfc1bf9fff8d42329d6,The scientists encouraged the lawyers .
e66537f8e42d9183c0f8669b3207b082,The professors helped the presidents .
a66d1837156100363c42316c186eb38d,The authors stopped the senator .
9cae4d5a38fe578ea601fbbfc284e36c,The professor advised the manager .
ce3344d199296f373074aa8efa17b3d9,The manager introduced the judge .
f7719d6dfe797995a737ded667aa7ee7,The presidents contacted the scientist .
67c1e232c23a636bf166ee051796f5d1,The artists encouraged the scientists .
3943b9dec9bc27e380546f267fd93a9d,The lawyer advised the author .
a7786afd1138e1166eda3c2cbac104ee,The student contacted the senator .
2ea2e70198bf33198ac8088391d90a81,The students recognized the professor .
f2842dcb76785d6bbe9e43fb3ea7a31b,The actor believed the scientist .
374823109eee97d24f1186b4b1a22ac7,The artist contacted the tourist .
5277fcff1c19fe375946d788c45467ef,The president helped the actors .
c9c6b4e037b99154c7c40b2b9bcc8c99,The professors introduced the secretary .
57a1e2edd9f69b3806d5e8fcaeb24a57,The doctors advised the senator .
ad5b22b5ecd8083ba7204ae64e2b4176,The doctors believed the student .
efab04636080c952b8f47e7f92f57b38,The judges mentioned the student .
f690ba90b44711afe004aa2a5b11b902,The judge called the doctors .
eb01253bfea4f52392fb0effe29cb14f,The managers stopped the president .
bb4dfe438575fe619dcf493c14d280c3,The artist introduced the tourists .
530b02a475fe57d626a960bc59fc26e2,The manager contacted the secretaries .
bf86b111a40869bfbbf43fc2e959ce77,The judges recommended the secretary .
8c41dd777f6f3e8252905d64e41983ca,The actors called the professor .
e05f52de271cf0bba5885a39059cdeb4,The scientists avoided the actors .
84d18e42c9ce0ac8e431480001705522,The banker encouraged the artists .
393f8ffbc5512f3e6e2e4c8b10ee182c,The artists believed the bankers .
924ad0fdfa550e609647a2d2f7dcbdb3,The professor recommended the manager .
8f2e645c6b7372a6cf34416b7adbf468,The doctor thanked the secretary .
257770fcc33a42e0e65bd1df3c40e5f3,The banker admired the actors .
dc53d8fc0688d79e3866fa805ea1581e,The banker thanked the lawyer .
16689e1695169f3511deb723b3412a45,The managers called the athletes .
f7b5efa3b41dfbf6d64ba7409729882a,The tourists introduced the authors .
a4726787f54fbaa03305aa7d556a36c9,The secretary mentioned the authors .
442da585354f5d76b815fed83d625962,The banker admired the tourist .
